,id,forum,license,signatures,readers,writers,content,number,odate,invitations,domain,tcdate,cdate,tmdate,mdate,pdate,version
0,YVD1QqWRaj,YVD1QqWRaj,CC BY-SA 4.0,['TMLR/Paper2563/Authors'],['everyone'],['TMLR'],"{'title': {'value': 'PRD: Peer Rank and Discussion Improve Large Language Model based Evaluations'}, 'abstract': {'value': 'Nowadays, the quality of responses generated by different modern large language models (LLMs) is hard to evaluate and compare automatically. Recent studies suggest and predominantly use LLMs for reference-free evaluation of open-ended question answering. More specifically, they use the recognized “strongest” LLM as the evaluator, which conducts pairwise comparisons of candidate models’ answers and provides a ranking score. However, this intuitive method has multiple problems, such as bringing in self-enhancement (favoring its own answers) and positional bias. We draw insights and lessons from the educational domain (Cho & MacArthur, 2011; Walsh, 2014) to improve LLM-based evaluations. Specifically, we propose (1) the peer rank (PR) algorithm that takes into account each peer LLM’s pairwise preferences of all answer pairs, and outputs a final ranking of models; and (2) peer discussion (PD), where we prompt two LLMs to discuss and try to reach a mutual agreement on the preferences of two answers. We conduct experiments on two benchmark datasets. We find that our approaches achieve higher accuracy and align better with human judgments. Interestingly, PR can induce a relatively accurate self-ranking of models under the anonymous setting, where each model’s name is unrevealed. Our work provides space to explore evaluating models that are hard to compare for humans.'}, 'authors': {'value': ['Ruosen Li', 'Teerth Patel', 'Xinya Du']}, 'authorids': {'value': ['~Ruosen_Li1', '~Teerth_Patel1', '~Xinya_Du1']}, 'pdf': {'value': '/pdf/d14166e9f102b37424221ac180db9bea7dd0c5ac.pdf'}, 'submission_length': {'value': 'Regular submission (no more than 12 pages of main content)'}, 'supplementary_material': {'value': '/attachment/7800b199a9205c66aa32f761b7f0e95a56bc3d83.zip'}, 'venue': {'value': 'Accepted by TMLR'}, 'venueid': {'value': 'TMLR'}, '_bibtex': {'value': '@article{\nli2024prd,\ntitle={{PRD}: Peer Rank and Discussion Improve Large Language Model based Evaluations},\nauthor={Ruosen Li and Teerth Patel and Xinya Du},\njournal={Transactions on Machine Learning Research},\nissn={2835-8856},\nyear={2024},\nurl={https://openreview.net/forum?id=YVD1QqWRaj},\nnote={}\n}'}, 'assigned_action_editor': {'value': '~Nihar_B_Shah1'}, 'paperhash': {'value': 'li|prd_peer_rank_and_discussion_improve_large_language_model_based_evaluations'}}",2563,1714001098178,"['TMLR/-/Submission', 'TMLR/-/Edit', 'TMLR/-/Under_Review', 'TMLR/Paper2563/-/Revision', 'TMLR/Paper2563/-/Camera_Ready_Revision', 'TMLR/-/Accepted']",TMLR,1713721579423,1713721579423,1720062646953,1720062646953,1720062646882,2
1,gcf1anBL9e,gcf1anBL9e,CC BY-SA 4.0,['TMLR/Paper2554/Authors'],['everyone'],['TMLR'],"{'title': {'value': 'SpikeGPT: Generative Pre-trained Language Model with Spiking Neural Networks'}, 'abstract': {'value': ""As the size of large language models continue to scale, so does the computational resources required to run them. Spiking Neural Networks (SNNs) have emerged as an energy-efficient approach to deep learning that leverage sparse and event-driven activations to reduce the computational overhead associated with model inference. While they have become competitive with non-spiking models on many computer vision tasks, SNNs have proven to be more challenging to train. As a result, their performance lags behind modern deep learning, and until now, SNNs have yet to succeed at language generation on large-scale datasets. In this paper, inspired by the Receptance Weighted Key Value (RWKV) language model, we successfully implement `SpikeGPT', a generative language model with binary, event-driven spiking activation units. We train the proposed model on two model variants: 46M and 216M parameters. To the best of our knowledge, SpikeGPT is the largest backpropagation-trained SNN model when released, rendering it suitable for both the generation and comprehension of natural language. We achieve this by modifying the transformer block to replace multi-head self-attention to reduce quadratic computational complexity $\\mathcal{O}(T^2)$ to linear complexity $\\mathcal{O}(T)$ with increasing sequence length. Input tokens are instead streamed in sequentially to our attention mechanism (as with typical SNNs). Our experiments show that SpikeGPT remains competitive with non-spiking models on tested benchmarks, while maintaining 32.2$\\times$ fewer operations when processed on neuromorphic hardware that can leverage sparse, event-driven activations. Our code implementation is available at https://github.com/ridgerchu/SpikeGPT.""}, 'authors': {'value': ['Rui-Jie Zhu', 'Qihang Zhao', 'Guoqi Li', 'Jason Eshraghian']}, 'authorids': {'value': ['~Rui-Jie_Zhu2', '~Qihang_Zhao1', '~Guoqi_Li1', '~Jason_Eshraghian1']}, 'pdf': {'value': '/pdf/0090fed3bc6c489b4198891276a118f2087af8e6.pdf'}, 'submission_length': {'value': 'Regular submission (no more than 12 pages of main content)'}, 'venue': {'value': 'Accepted by TMLR'}, 'venueid': {'value': 'TMLR'}, '_bibtex': {'value': '@article{\nzhu2024spikegpt,\ntitle={Spike{GPT}: Generative Pre-trained Language Model with Spiking Neural Networks},\nauthor={Rui-Jie Zhu and Qihang Zhao and Guoqi Li and Jason Eshraghian},\njournal={Transactions on Machine Learning Research},\nissn={2835-8856},\nyear={2024},\nurl={https://openreview.net/forum?id=gcf1anBL9e},\nnote={}\n}'}, 'assigned_action_editor': {'value': '~Emanuele_Sansone1'}, 'code': {'value': 'https://github.com/ridgerchu/SpikeGPT'}, 'paperhash': {'value': 'zhu|spikegpt_generative_pretrained_language_model_with_spiking_neural_networks'}}",2554,1713990538585,"['TMLR/-/Submission', 'TMLR/Paper2554/-/Revision', 'TMLR/-/Edit', 'TMLR/-/Under_Review', 'TMLR/Paper2554/-/Camera_Ready_Revision', 'TMLR/-/Accepted']",TMLR,1713549953206,1713549953206,1718865588826,1718865588826,1718865588730,2
2,9YqacugDER,9YqacugDER,CC BY-SA 4.0,['TMLR/Paper2544/Authors'],['everyone'],['TMLR'],"{'title': {'value': 'Towards Understanding Variants of Invariant Risk Minimization through the Lens of Calibration'}, 'abstract': {'value': ""Machine learning models traditionally assume that training and test data are independently and identically distributed. However, in real-world applications, the test distribution often differs from training. This problem, known as out-of-distribution (OOD) generalization, challenges conventional models. Invariant Risk Minimization (IRM) emerges as a solution that aims to identify invariant features across different environments to enhance OOD robustness. However, IRM's complexity, particularly its bi-level optimization, has led to the development of various approximate methods. Our study investigates these approximate IRM techniques, using the consistency and variance of calibration across environments as metrics to measure the invariance aimed for by IRM. Calibration, which measures the reliability of model prediction, serves as an indicator of whether models effectively capture environment-invariant features by showing how uniformly over-confident the model remains across varied environments. Through a comparative analysis of datasets with distributional shifts, we observe that Information Bottleneck-based IRM achieves consistent calibration across different environments. This observation suggests that information compression techniques, such as IB, are potentially effective in achieving model invariance. Furthermore, our empirical evidence indicates that models exhibiting consistent calibration across environments are also well-calibrated. This demonstrates that invariance and cross-environment calibration are empirically equivalent. Additionally, we underscore the necessity for a systematic approach to evaluating OOD generalization. This approach should move beyond traditional metrics, such as accuracy and F1 scores, which fail to account for the model’s degree of over-confidence, and instead focus on the nuanced interplay between accuracy, calibration, and model invariance.""}, 'authors': {'value': ['Kotaro Yoshida', 'Hiroki Naganuma']}, 'authorids': {'value': ['~Kotaro_Yoshida1', '~Hiroki_Naganuma1']}, 'pdf': {'value': '/pdf/e2804db67a26b06931fd3f25d9f301c70b9829e0.pdf'}, 'submission_length': {'value': 'Regular submission (no more than 12 pages of main content)'}, 'venue': {'value': 'Accepted by TMLR'}, 'venueid': {'value': 'TMLR'}, '_bibtex': {'value': '@article{\nyoshida2024towards,\ntitle={Towards Understanding Variants of Invariant Risk Minimization through the Lens of Calibration},\nauthor={Kotaro Yoshida and Hiroki Naganuma},\njournal={Transactions on Machine Learning Research},\nissn={2835-8856},\nyear={2024},\nurl={https://openreview.net/forum?id=9YqacugDER},\nnote={}\n}'}, 'assigned_action_editor': {'value': '~Jeffrey_Pennington1'}, 'code': {'value': 'https://github.com/katoro8989/IRM_Variants_Calibration'}, 'paperhash': {'value': 'yoshida|towards_understanding_variants_of_invariant_risk_minimization_through_the_lens_of_calibration'}}",2544,1714481602468,"['TMLR/-/Submission', 'TMLR/-/Edit', 'TMLR/-/Under_Review', 'TMLR/Paper2544/-/Revision', 'TMLR/Paper2544/-/Camera_Ready_Revision', 'TMLR/-/Accepted']",TMLR,1713430093315,1713430093315,1718713752646,1718713752646,1718713752568,2
3,Sy6ZOStz5v,Sy6ZOStz5v,CC BY-SA 4.0,['TMLR/Paper2490/Authors'],['everyone'],['TMLR'],"{'title': {'value': 'A Simple Video Segmenter by Tracking Objects Along Axial Trajectories'}, 'abstract': {'value': 'Video segmentation requires consistently segmenting and tracking objects over time. Due to the quadratic dependency on input size, directly applying self-attention to video segmentation with high-resolution input features poses significant challenges, often leading to GPU Out-Of-Memory errors. Consequently, modern video segmenters either extend an image segmenter without incorporating any temporal attention or resort to window space-time attention in a naive manner. In this work, we present Axial-VS, a general and simple framework that enhances video segmenters by tracking objects along axial trajectories. The framework tackles video segmentation through two sub-tasks: short-term within-clip segmentation and long-term cross-clip tracking. In the first step, Axial-VS augments an off-the-shelf clip-level video segmenter with the proposed axial-trajectory attention, sequentially tracking objects along the height- and width-trajectories within a clip, thereby enhancing temporal consistency by capturing motion trajectories. The axial decomposition significantly reduces the computational complexity for dense features, and outperforms the window space-time attention in segmentation quality. In the second step, we further employ axial-trajectory attention to the object queries in clip-level segmenters, which are learned to encode object information, thereby aiding object tracking across different clips and achieving consistent segmentation throughout the video. Without bells and whistles, Axial-VS showcases state-of-the-art results on video segmentation benchmarks, emphasizing its effectiveness in addressing the limitations of modern clip-level video segmenters. Code will be made available.'}, 'authors': {'value': ['Ju He', 'Qihang Yu', 'Inkyu Shin', 'Xueqing Deng', 'Alan Yuille', 'Xiaohui Shen', 'Liang-Chieh Chen']}, 'authorids': {'value': ['~Ju_He1', '~Qihang_Yu1', '~Inkyu_Shin1', '~Xueqing_Deng2', '~Alan_Yuille1', '~Xiaohui_Shen2', '~Liang-Chieh_Chen1']}, 'pdf': {'value': '/pdf/7428b4c44594aeb81e2c3626bac633c763effbb9.pdf'}, 'submission_length': {'value': 'Regular submission (no more than 12 pages of main content)'}, 'supplementary_material': {'value': '/attachment/4241627523e867bb71757d11ef666d1e707d1d1d.zip'}, 'venue': {'value': 'Accepted by TMLR'}, 'venueid': {'value': 'TMLR'}, '_bibtex': {'value': '@article{\nhe2024a,\ntitle={A Simple Video Segmenter by Tracking Objects Along Axial Trajectories},\nauthor={Ju He and Qihang Yu and Inkyu Shin and Xueqing Deng and Alan Yuille and Xiaohui Shen and Liang-Chieh Chen},\njournal={Transactions on Machine Learning Research},\nissn={2835-8856},\nyear={2024},\nurl={https://openreview.net/forum?id=Sy6ZOStz5v},\nnote={}\n}'}, 'assigned_action_editor': {'value': '~Pavel_Tokmakov2'}, 'code': {'value': 'https://github.com/TACJu/Axial-VS'}, 'paperhash': {'value': 'he|a_simple_video_segmenter_by_tracking_objects_along_axial_trajectories'}}",2490,1712941915968,"['TMLR/-/Submission', 'TMLR/-/Edit', 'TMLR/-/Under_Review', 'TMLR/Paper2490/-/Revision', 'TMLR/Paper2490/-/Camera_Ready_Revision', 'TMLR/-/Accepted']",TMLR,1712531303081,1712531303081,1718220564921,1718220564921,1718220564858,2
4,cT8oOJ6Q6F,cT8oOJ6Q6F,CC BY-SA 4.0,['TMLR/Paper2484/Authors'],['everyone'],['TMLR'],"{'title': {'value': 'Grid Cell-Inspired Fragmentation and Recall for Efficient Map Building'}, 'abstract': {'value': 'Animals and robots navigate through environments by building and refining maps of space. These maps enable functions including navigation back to home, planning, search and foraging. Here, we use observations from neuroscience, specifically the observed fragmentation of grid cell map in compartmentalized spaces, to propose and apply the concept of Fragmentation-and-Recall (FARMap) in the mapping of large spaces. Agents solve the mapping problem by building local maps via a surprisal-based clustering of space, which they use to set subgoals for spatial exploration. Agents build and use a local map to predict their observations; high surprisal leads to a ""fragmentation event"" that truncates the local map. At these events, the recent local map is placed into long-term memory (LTM) and a different local map is initialized. If observations at a fracture point match observations in one of the stored local maps, that map is recalled (and thus reused) from LTM. The fragmentation points induce a natural online clustering of the larger space, forming a set of intrinsic potential subgoals that are stored in LTM as a topological graph. Agents choose their next subgoal from the set of near and far potential subgoals from within the current local map or LTM, respectively. Thus, local maps guide exploration locally, while LTM promotes global exploration. We demonstrate that FARMap replicates the fragmentation points observed in animal studies. We evaluate FARMap on complex procedurally-generated spatial environments and realistic simulations to demonstrate that this mapping strategy much more rapidly covers the environment (number of agent steps and wall clock time) and is more efficient in active memory usage, without loss of performance.'}, 'authors': {'value': ['Jaedong Hwang', 'Zhang-Wei Hong', 'Eric R Chen', 'Akhilan Boopathy', 'Pulkit Agrawal', 'Ila R Fiete']}, 'authorids': {'value': ['~Jaedong_Hwang1', '~Zhang-Wei_Hong1', '~Eric_R_Chen1', '~Akhilan_Boopathy1', '~Pulkit_Agrawal1', '~Ila_R_Fiete1']}, 'pdf': {'value': '/pdf/d855e8301a88fe97acf1995193bab62fa0084cdc.pdf'}, 'submission_length': {'value': 'Regular submission (no more than 12 pages of main content)'}, 'venue': {'value': 'Accepted by TMLR'}, 'venueid': {'value': 'TMLR'}, '_bibtex': {'value': '@article{\nhwang2024grid,\ntitle={Grid Cell-Inspired Fragmentation and Recall for Efficient Map Building},\nauthor={Jaedong Hwang and Zhang-Wei Hong and Eric R Chen and Akhilan Boopathy and Pulkit Agrawal and Ila R Fiete},\njournal={Transactions on Machine Learning Research},\nissn={2835-8856},\nyear={2024},\nurl={https://openreview.net/forum?id=cT8oOJ6Q6F},\nnote={Featured Certification}\n}'}, 'assigned_action_editor': {'value': '~Andrew_Kyle_Lampinen1'}, 'video': {'value': 'https://www.youtube.com/watch?v=lV0clkUssvs'}, 'code': {'value': 'https://github.com/FieteLab/FARMap'}, 'certifications': {'value': ['Featured Certification']}, 'paperhash': {'value': 'hwang|grid_cellinspired_fragmentation_and_recall_for_efficient_map_building'}}",2484,1712941583886,"['TMLR/-/Submission', 'TMLR/-/Edit', 'TMLR/-/Under_Review', 'TMLR/Paper2484/-/Revision', 'TMLR/Paper2484/-/Camera_Ready_Revision', 'TMLR/-/Accepted']",TMLR,1712434387950,1712434387950,1720453770040,1720453770040,1720453769958,2
5,vqniLmUDvj,vqniLmUDvj,CC BY-SA 4.0,['TMLR/Paper2438/Authors'],['everyone'],['TMLR'],"{'title': {'value': 'ConsistI2V: Enhancing Visual Consistency for Image-to-Video Generation'}, 'abstract': {'value': 'Image-to-video (I2V) generation aims to use the initial frame (alongside a text prompt) to create a video sequence. A grand challenge in I2V generation is to maintain visual consistency throughout the video: existing methods often struggle to preserve the integrity of the subject, background, and style from the first frame, as well as ensure a fluid and logical progression within the video narrative. To mitigate these issues, we propose ConsistI2V, a diffusion-based method to enhance visual consistency for I2V generation. Specifically, we introduce (1) spatiotemporal attention over the first frame to maintain spatial and motion consistency, (2) noise initialization from the low-frequency band of the first frame to enhance layout consistency. These two approaches enable ConsistI2V to generate highly consistent videos. We also extend the proposed approaches to show their potential to improve consistency in auto-regressive long video generation and camera motion control. To verify the effectiveness of our method, we propose I2V-Bench, a comprehensive evaluation benchmark for I2V generation. Our automatic and human evaluation results demonstrate the superiority of ConsistI2V over existing methods.'}, 'authors': {'value': ['Weiming Ren', 'Huan Yang', 'Ge Zhang', 'Cong Wei', 'Xinrun Du', 'Wenhao Huang', 'Wenhu Chen']}, 'authorids': {'value': ['~Weiming_Ren1', '~Huan_Yang4', '~Ge_Zhang5', '~Cong_Wei1', '~Xinrun_Du1', '~Wenhao_Huang1', '~Wenhu_Chen3']}, 'pdf': {'value': '/pdf/e3c4edb75a0e7089a966f4481203f9b8a4bc9e32.pdf'}, 'submission_length': {'value': 'Regular submission (no more than 12 pages of main content)'}, 'supplementary_material': {'value': '/attachment/0c2ca5a323e615de458f6dfb1ec2ade28740c591.zip'}, 'venue': {'value': 'Accepted by TMLR'}, 'venueid': {'value': 'TMLR'}, '_bibtex': {'value': '@article{\nren2024consistiv,\ntitle={ConsistI2V: Enhancing Visual Consistency for Image-to-Video Generation},\nauthor={Weiming Ren and Huan Yang and Ge Zhang and Cong Wei and Xinrun Du and Wenhao Huang and Wenhu Chen},\njournal={Transactions on Machine Learning Research},\nissn={2835-8856},\nyear={2024},\nurl={https://openreview.net/forum?id=vqniLmUDvj},\nnote={}\n}'}, 'assigned_action_editor': {'value': '~Nicolas_THOME2'}, 'changes_since_last_submission': {'value': 'Change log since last submission:\n1. Section 3.4: add discussion on window size K\n2. Section 3.5: add discussion with Blurring Diffusion Model\n3. Table 1 & Table 2: change text color and highlight\n4. Figure 5: change example with less motion\n5. Figure 6: add two more ablation study example\n6. Table 3: include inference runtime statistics\n7. Section 5.4: add discussion on FrameInit hyperparameters; add discussion on runtime efficiency\n8. Figure 7: add a new figure for FrameInit hyperparameter comparison\n9. Section 5.5 & Figure 8: add discussion & visualization for perspective view change\n10. Section 6: move the Limitation section to main paper\n11. Appendix C: add more descriptions for I2V-Bench metrics'}, 'code': {'value': 'https://github.com/TIGER-AI-Lab/ConsistI2V'}, 'paperhash': {'value': 'ren|consisti2v_enhancing_visual_consistency_for_imagetovideo_generation'}}",2438,1712136902196,"['TMLR/-/Submission', 'TMLR/-/Edit', 'TMLR/-/Under_Review', 'TMLR/Paper2438/-/Revision', 'TMLR/Paper2438/-/Camera_Ready_Revision', 'TMLR/-/Accepted']",TMLR,1711660684764,1711660684764,1719826152929,1719826152929,1719826152868,2
6,agT8ojoH0X,agT8ojoH0X,CC BY-SA 4.0,['TMLR/Paper2435/Authors'],['everyone'],['TMLR'],"{'title': {'value': 'Self-Improvement for Neural Combinatorial Optimization: Sample Without Replacement, but Improvement'}, 'abstract': {'value': 'Current methods for end-to-end constructive neural combinatorial optimization usually train a policy using behavior cloning from expert solutions or policy gradient methods from reinforcement learning. While behavior cloning is straightforward, it requires expensive expert solutions, and policy gradient methods are often computationally demanding and complex to fine-tune. In this work, we bridge the two and simplify the training process by sampling multiple solutions for random instances using the current model in each epoch and then selecting the best solution as an expert trajectory for supervised imitation learning. To achieve progressively improving solutions with minimal sampling, we introduce a method that combines round-wise Stochastic Beam Search with an update strategy derived from a provable policy improvement. This strategy refines the policy between rounds by utilizing the advantage of the sampled sequences with almost no computational overhead. We evaluate our approach on the Traveling Salesman Problem and the Capacitated Vehicle Routing Problem. The models trained with our method achieve comparable performance and generalization to those trained with expert data. Additionally, we apply our method to the Job Shop Scheduling Problem using a transformer-based architecture and outperform existing state-of-the-art methods by a wide margin.'}, 'authors': {'value': ['Jonathan Pirnay', 'Dominik G. Grimm']}, 'authorids': {'value': ['~Jonathan_Pirnay1', '~Dominik_G._Grimm1']}, 'pdf': {'value': '/pdf/b800ec3536f8b4a464ee8b1555c1915a32f0e30a.pdf'}, 'submission_length': {'value': 'Regular submission (no more than 12 pages of main content)'}, 'venue': {'value': 'Accepted by TMLR'}, 'venueid': {'value': 'TMLR'}, '_bibtex': {'value': '@article{\npirnay2024selfimprovement,\ntitle={Self-Improvement for Neural Combinatorial Optimization: Sample Without Replacement, but Improvement},\nauthor={Jonathan Pirnay and Dominik G. Grimm},\njournal={Transactions on Machine Learning Research},\nissn={2835-8856},\nyear={2024},\nurl={https://openreview.net/forum?id=agT8ojoH0X},\nnote={Featured Certification}\n}'}, 'assigned_action_editor': {'value': '~Tim_Genewein1'}, 'code': {'value': 'https://github.com/grimmlab/gumbeldore'}, 'certifications': {'value': ['Featured Certification']}, 'paperhash': {'value': 'pirnay|selfimprovement_for_neural_combinatorial_optimization_sample_without_replacement_but_improvement'}}",2435,1711801581921,"['TMLR/-/Submission', 'TMLR/-/Edit', 'TMLR/-/Under_Review', 'TMLR/Paper2435/-/Revision', 'TMLR/Paper2435/-/Camera_Ready_Revision', 'TMLR/-/Accepted']",TMLR,1711555965853,1711555965853,1718102620712,1718102620712,1718102620656,2
7,i5yKW1pmjW,i5yKW1pmjW,CC BY-SA 4.0,['TMLR/Paper2434/Authors'],['everyone'],['TMLR'],"{'title': {'value': 'Semi-Supervised Semantic Segmentation via Marginal Contextual Information'}, 'abstract': {'value': 'We present a novel confidence refinement scheme that enhances pseudo-labels in semi-supervised semantic segmentation. Unlike existing methods, which filter pixels with low-confidence predictions in isolation, our approach leverages the spatial correlation of labels in segmentation maps by grouping neighboring pixels and considering their pseudo-labels collectively. With this contextual information, our method, named S4MC, increases the amount of unlabeled data used during training while maintaining the quality of the pseudo-labels, all with negligible computational overhead. Through extensive experiments on standard benchmarks, we demonstrate that S4MC outperforms existing state-of-the-art semi-supervised learning approaches, offering a promising solution for reducing the cost of acquiring dense annotations. For example, S4MC achieves a 1.39 mIoU improvement over the prior art on PASCAL VOC 12 with 366 annotated images. The code to reproduce our experiments is available at https://s4mcontext.github.io/'}, 'authors': {'value': ['Moshe Kimhi', 'Shai Kimhi', 'Evgenii Zheltonozhskii', 'Or Litany', 'Chaim Baskin']}, 'authorids': {'value': ['~Moshe_Kimhi2', '~Shai_Kimhi1', '~Evgenii_Zheltonozhskii1', '~Or_Litany1', '~Chaim_Baskin1']}, 'pdf': {'value': '/pdf/157df48d6b871cf7c477b35f85de02441d506904.pdf'}, 'submission_length': {'value': 'Regular submission (no more than 12 pages of main content)'}, 'supplementary_material': {'value': '/attachment/cd86743e9b9109c01d2bfe34d33e3dec9c7282e8.pdf'}, 'venue': {'value': 'Accepted by TMLR'}, 'venueid': {'value': 'TMLR'}, '_bibtex': {'value': '@article{\nkimhi2024semisupervised,\ntitle={Semi-Supervised Semantic Segmentation via Marginal Contextual Information},\nauthor={Moshe Kimhi and Shai Kimhi and Evgenii Zheltonozhskii and Or Litany and Chaim Baskin},\njournal={Transactions on Machine Learning Research},\nissn={2835-8856},\nyear={2024},\nurl={https://openreview.net/forum?id=i5yKW1pmjW},\nnote={}\n}'}, 'assigned_action_editor': {'value': '~Pavel_Tokmakov2'}, 'changes_since_last_submission': {'value': 'camera ready version'}, 'paperhash': {'value': 'kimhi|semisupervised_semantic_segmentation_via_marginal_contextual_information'}}",2434,1711642363166,"['TMLR/-/Submission', 'TMLR/-/Edit', 'TMLR/-/Under_Review', 'TMLR/Paper2434/-/Revision', 'TMLR/Paper2434/-/Camera_Ready_Revision', 'TMLR/-/Accepted']",TMLR,1711555555505,1711555555505,1717443891176,1717443891176,1717443891029,2
8,Ft4kHrOawZ,Ft4kHrOawZ,CC BY-SA 4.0,['TMLR/Paper2421/Authors'],['everyone'],['TMLR'],"{'title': {'value': 'Bayesian Quantification with Black-Box Estimators'}, 'abstract': {'value': 'Understanding how different classes are distributed in an unlabeled data set is important for the calibration of probabilistic classifiers and uncertainty quantification. Methods like adjusted classify and count, black-box shift estimators, and invariant ratio estimators use an auxiliary and potentially biased black-box classifier trained on a different data set to estimate the class distribution on the current data set and yield asymptotic guarantees under weak assumptions. We demonstrate that these algorithms are closely related to the inference in a\nparticular probabilistic graphical model approximating the assumed ground-truth generative process, and we propose a Bayesian estimator. Then, we discuss an efficient Markov chain Monte Carlo sampling scheme for the introduced model and show an asymptotic consistency guarantee in the large-data limit. We compare the introduced model against the established point estimators in a variety of scenarios, and show it is competitive, and in some cases superior, with the non-Bayesian alternatives.'}, 'authors': {'value': ['Albert Ziegler', 'Paweł Czyż']}, 'authorids': {'value': ['~Albert_Ziegler1', '~Paweł_Czyż1']}, 'pdf': {'value': '/pdf/5aeac499a2d079be200828d8163597162ff6c5a8.pdf'}, 'submission_length': {'value': 'Regular submission (no more than 12 pages of main content)'}, 'venue': {'value': 'Accepted by TMLR'}, 'venueid': {'value': 'TMLR'}, '_bibtex': {'value': '@article{\nziegler2024bayesian,\ntitle={Bayesian Quantification with Black-Box Estimators},\nauthor={Albert Ziegler and Pawe{\\l} Czy{\\.z}},\njournal={Transactions on Machine Learning Research},\nissn={2835-8856},\nyear={2024},\nurl={https://openreview.net/forum?id=Ft4kHrOawZ},\nnote={}\n}'}, 'assigned_action_editor': {'value': '~Pavel_Izmailov1'}, 'changes_since_last_submission': {'value': 'This is the final (camera-ready) version of the manuscript. It has been deanonymised and features the following minor changes:\n\n- All experiments now report $\\hat R$.\n- Computing resources are described in Appendix E.\n- Additional proofreading has been completed to improve clarity and readability.'}, 'code': {'value': 'https://github.com/pawel-czyz/labelshift'}, 'paperhash': {'value': 'ziegler|bayesian_quantification_with_blackbox_estimators'}}",2421,1711817490038,"['TMLR/-/Submission', 'TMLR/-/Edit', 'TMLR/-/Under_Review', 'TMLR/Paper2421/-/Revision', 'TMLR/Paper2421/-/Camera_Ready_Revision', 'TMLR/-/Accepted']",TMLR,1711363114235,1711363114235,1717563764585,1717563764585,1717563764533,2
9,A6eqDMttcs,A6eqDMttcs,CC BY-SA 4.0,['TMLR/Paper2414/Authors'],['everyone'],['TMLR'],"{'title': {'value': ""Making Translators Privacy-aware on the User's Side""}, 'abstract': {'value': ""We propose PRISM to enable users of machine translation systems to preserve the privacy of data on their own initiative. There is a growing demand to apply machine translation systems to data that require privacy protection. While several machine translation engines claim to prioritize privacy, the extent and specifics of such protection are largely ambiguous. First, there is often a lack of clarity on how and to what degree the data is protected. Even if service providers believe they have sufficient safeguards in place, sophisticated adversaries might still extract sensitive information. Second, vulnerabilities may exist outside of these protective measures, such as within communication channels, potentially leading to data leakage. As a result, users are hesitant to utilize machine translation engines for data demanding high levels of privacy protection, thereby missing out on their benefits. PRISM resolves this problem. Instead of relying on the translation service to keep data safe, PRISM provides the means to protect data on the user's side. This approach ensures that even machine translation engines with inadequate privacy measures can be used securely. For platforms already equipped with privacy safeguards, PRISM acts as an additional protection layer, reinforcing their security furthermore. PRISM adds these privacy features without significantly compromising translation accuracy. We prove that PRISM enjoys the theoretical guarantee of word-level differential privacy. Our experiments demonstrate the effectiveness of PRISM using real-world translators, T5 and ChatGPT (GPT-3.5-turbo), and the datasets with two languages. PRISM effectively balances privacy protection with translation accuracy over other user-side privacy protection protocols and helps users grasp the content written in a foreign language without leaking the original content.""}, 'authors': {'value': ['Ryoma Sato']}, 'authorids': {'value': ['~Ryoma_Sato1']}, 'pdf': {'value': '/pdf/f1eaf4c480df790b6b285ca1c1510f8b92d296fd.pdf'}, 'submission_length': {'value': 'Regular submission (no more than 12 pages of main content)'}, 'previous_TMLR_submission_url': {'value': 'https://openreview.net/forum?id=0jL6SDOvPt'}, 'changes_since_last_submission': {'value': 'We added discussion on the definition of differential privacy.\n\nWe inserted explanations of the theory just after Theorem 3.2 (p.5). The reason for this change is that a reviewer and the AE misunderstood that Theorem 3.2 could not apply to correlated texts and that was the reason for the decision. We clarified that Theorem 3.2 is applicable to correlated texts and block-wise changes.\n\nWe replaced ""differential privacy"" with ""word-level differential privacy"" in the introduction. We inserted the following disucssion in the introduction (page 2, L.5--L.9)\n```Here, we mean word-level by regarding texts with one different word as adjacent. It should be noted that this definition may be oversimplified for practical guarantee of privacy as words in real-world texts are correlated. Group privacy, where a group of words is considered a unit, mitigates this problem as differential privacy can be composed, and our results can be extended to group privacy. Exploring more sophisticated guarantees that care text correlations is left as future work.``` We inserted `We prove that PRISM enjoys the theoretical guarantee of word-level differential privacy.` in the abstract.'}, 'venue': {'value': 'Accepted by TMLR'}, 'venueid': {'value': 'TMLR'}, '_bibtex': {'value': ""@article{\nsato2024making,\ntitle={Making Translators Privacy-aware on the User's Side},\nauthor={Ryoma Sato},\njournal={Transactions on Machine Learning Research},\nissn={2835-8856},\nyear={2024},\nurl={https://openreview.net/forum?id=A6eqDMttcs},\nnote={}\n}""}, 'assigned_action_editor': {'value': '~Nihar_B_Shah1'}, 'code': {'value': 'https://github.com/joisino/prism'}, 'paperhash': {'value': 'sato|making_translators_privacyaware_on_the_users_side'}}",2414,1714567208902,"['TMLR/-/Submission', 'TMLR/-/Edit', 'TMLR/Paper2414/-/Revision', 'TMLR/-/Under_Review', 'TMLR/Paper2414/-/Camera_Ready_Revision', 'TMLR/-/Accepted']",TMLR,1711166257084,1711166257084,1718030194034,1718030194034,1718030193958,2
